# 湘夫人 · Ralph progress
# 一轮一条。格式： round <n> | <PRD 第几条> | <做了什么> | <自检结论>
round 23 | PRD-12b | 麋重做比例并站到踩平的路上，席与水之间 | 自检通过：机位里认得出是鹿，无人形，只动 xiangfuren/
round 24 | PRD-13 | 通盘自检 → 洞庭波：远处采样张开代替拍平法线、补两个细浪（shader+JS 镜像）、浪脊亮浪谷暗 | 自检通过：等待机位不再是铁板，对照表逐条都在，无人形
round 25 | PRD-14 | 近处水面加只扰动法线的细纹（不动 waveH，保住 JS 镜像） | 自检通过：等待机位前景成水，无人形，只动 xiangfuren/
round 26 | PRD-15a | 杜若的花改成三片瓣的小花，去掉白方块；数量再压 | 自检通过：纸片感消失，无人形，只动 xiangfuren/
round 27 | PRD-16 | 鸟重做成站着的水鸟（腿/颈/喙），两片蘋挪到等待机位跟前 | 自检通过：剪影里认得出是鸟，四个反问都看得见，无人形
round 28 | PRD-15b | 挂着的衣裳：肩上一道折、腰微收、下摆参差地烂开 | 自检通过：认得出是衣裳，无人形，只动 xiangfuren/
round 29 | PRD-15c | 灯重做：细柱 + 浅陶盘 + 尖火 + 灯芯，去掉方盒子感 | 自检通过：读成一盏灯，无人形，只动 xiangfuren/
round 30 | PRD-15d | 案：薄面翘边外撇腿；席压暗；白玉镇改扁 | 自检通过：手艺与世界一致，无人形，只动 xiangfuren/
note (round 31 试过并退回) | 九嶷加第二重山 + 山脊明暗格子：两重山在这个距离上读成一排灰楼房，比原来的一重更差，已整段退回。以后不要再试「加一重山」，要做纵深得改山的轮廓，不是加数量 | 无提交
round 31 | PRD-15e | 枯树的枝分三段收细并弯曲、主干加粗；九嶷双重山实验失败并退回 | 自检通过：树读成树，无人形，只动 xiangfuren/
round 32 | PRD-15f | 页脚只认最后一轮的 stop（此前一直挂着第一段「跑满 10 轮」） | 自检通过：世界未变（md5 与上一轮一致），页脚不再说谎
round 33 | PRD-15g | 白薠各自倒伏（顶点着色器里做，不加几何）；几何弯草的做法试过并退回 | 自检通过：草读成秋草，密度细度都在，无人形
round 34 | PRD-15h | 地面着色认那条踩出来的路（露土）；麋挪开不再压着水中之室 | 自检通过：路看得见，构图分开，无人形
round 35 | PRD-15i | 等待机位补两件漂着的袂（第 12 轮缩小后这个机位一件都看不见了） | 自检通过：袖子认得出、不抢水，无人形
round 36 | PRD-15j | 字幕补「搴汀洲兮杜若」，落在那丛花跟前 | 自检通过：画面未变（md5 一致），走到花前诗对得上
round 37 | PRD-15k | 物件着色补地平线方向环境光（只作用于竖直面）；先从机位之外拍检查图找到的问题 | 自检通过：屋前不再是黑墙，机位剪影不变
round 38 | PRD-15l | 席面改平铺莞草条 + 哑光（此前读成反天光的石板）；席案镇灯一律哑光 | 自检通过：近看是一张席，机位里也更清楚
round 39 | PRD-15m | 蛟从一串八面体改成连续的筒状身体 + 露出水面才长背鳍 | 自检通过：近看是活物，机位不受影响
round 40 | PRD-15n | 芷/兰挪到真正露出水面的地皮（原来种在水下，一株没生成）；芷做成真正的伞形花序 | 教训：放东西前先验 terrainH，别信坐标看起来像沙洲
round 41 | PRD-15o | 给两件挂着的衣裳补上真的横枝（从树干伸出来，不是浮在空中的棍子） | 自检通过：近看远看都挂得住
round 42 | PRD-15p | 兰的花改成五片细瓣（原来是紫色小方盒） | 自检通过：芷/兰/杜若三者近看远看都分得开
round 43 | PRD-15q | 水面补一层已落下的木叶（随浪起伏、顺风漂、绕回来） | 自检通过：水在动在计时，无人形
round 44 | PRD-15r | 杜若叶改成带折的弧面（四段） | 自检通过：不再是纸风筝；并验证 file:// 双击打开渲染一致
round 45 | PRD-15s | 搁浅的衣裳：加高频褶、做小、压进草里（原来像块白石） | 自检通过：读成布，画面重心回到空席
round 46 | PRD-15t | 九嶷脊线加肩/豁口/次峰，分段 9→17（不加第二重山） | 自检通过：天际线成一列山
round 47 | PRD-15u | 近处那件搁浅衣裳四轮都救不回来，按「做不好宁可不出现」挪出骋望机位 | 自检通过：机位干净，人迹交给席/灯/路
round 48 | PRD-15v | 杜若减到三分之一、压深（第 37 轮的环境光把它们照白了，铺满一地） | 自检通过：白薠重新是主角
round 49 | PRD-15w | 麋的躯干改成六截面的筒、颈分两节、头与吻做小压暗 | 自检通过：侧面读成鹿
round 50 | PRD-15x | 水鸟提亮到灰、身子做小（近看确认腿/颈/喙分得开） | 自检通过：鸟与袂同框且都认得出
round 51 | PRD-15 维护 | 重写 PRD 待办 + 新增「硬规矩」一节；POLISH 加「走出机位」 | 自检通过：世界未变，文件与现实一致
round 52 | PRD-15y | 荪壁/紫坛/荷盖压色（南面迎光时亮成荧光绿与紫带） | 自检通过：南北两面都成立
round 53 | PRD-15z | 物件着色器丢弃 0.24 米以内的片元（走进草丛被一根茎糊住）；芷伞不做拱；九嶷高度封顶 | 排查手法：分别涂红各程序 + 扫顶点非有限值 + console 日志
round 54 | PRD-15aa | 白薠也丢弃 0.20 米以内的片元 | 自检通过：草丛里往下看干净
round 55 | PRD-15ab | 物件环境光底 0.26→0.36、太阳项 1.15→1.02、水面反光给足 | 自检通过：水中之室从水上看得见构造，机位剪影不变
round 56 | PRD-15ac | 紫坛分三层砌 + 坛面浅槽 | 自检通过：从水上看是一座台
round 57 | PRD-15ad | 罾加密到 15×11、绳细到 1.3 厘米、随机断绺 | 自检通过：近看是网，机位里更像网
